tick,quiet agent,active agent,jailed agent
393,834,0,286
394,851,0,269
395,870,0,250
396,889,1,230
397,879,14,227
398,843,37,240
399,802,49,269
400,758,57,305
401,709,69,342
402,707,40,373
403,714,12,394
404,742,0,378
405,759,0,361
406,782,0,338
407,798,0,322
408,812,0,308
409,838,0,282
410,858,0,262
411,872,0,248
412,891,0,229
413,906,2,212
414,878,22,220
415,847,41,232
416,827,33,260
417,817,24,279
418,805,20,295
419,836,0,284
420,850,0,270
421,873,0,247
422,884,3,233
423,897,0,223
424,909,0,211
425,926,0,194
426,949,0,171
427,961,3,156
428,964,5,151
429,897,49,174
430,768,134,218
431,654,197,269
432,645,158,317
433,644,109,367
434,651,55,414
435,703,1,416
436,724,0,396
437,738,0,382
438,764,0,356
439,784,0,336
440,801,0,319
441,821,0,299
442,829,1,290
443,849,1,270
444,868,0,252
445,884,0,236
446,899,0,221
447,914,0,206
448,934,0,186
449,946,0,174
450,961,0,159
451,979,1,140
452,983,2,135
453,996,0,124
454,1006,0,114
455,1011,4,105
456,986,16,118
457,941,43,136
458,808,135,177
459,659,236,225
460,652,200,268
461,649,159,312
462,654,105,361
463,676,49,395
464,697,10,413
465,710,5,405
466,721,0,399
467,742,0,378
468,758,0,362
469,777,0,343
470,795,0,325
471,818,1,301
472,835,1,284
473,850,0,270
474,868,0,252
475,887,0,233
476,894,2,224
477,914,0,206
478,922,3,195
479,917,8,195
480,917,9,194
481,881,33,206
482,783,94,243
483,677,154,289
484,651,138,331
485,667,90,363
486,679,48,393
487,688,11,421
488,732,0,388
489,756,0,364
490,771,0,349
491,792,0,328
492,808,5,307
493,783,25,312
494,772,14,334
495,804,0,316
496,826,1,293
497,839,0,281
498,857,0,263
499,871,0,249
